height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,classification,Predict classification
9,83,747,9.222,.284,.849,1.91,212,634,111,text,text
10,15,150,1.500,.247,.720,1.61,37,108,23,text,text
6,101,606,16.833,.393,.752,1.98,238,456,120,text,text
8,20,160,2.500,.525,.938,3.50,84,150,24,text,text
7,219,1533,31.286,.182,.798,1.26,279,1224,222,text,text
8,187,1496,23.375,.155,.747,1.38,232,1118,168,text,text
24,198,4752,8.250,.911,.983,15.80,4329,4670,274,text,text
8,132,1056,16.500,.360,.921,2.10,380,973,181,text,text
9,186,1674,20.667,.425,.786,3.24,712,1315,220,text,text
9,36,324,4.000,.531,.938,2.82,172,304,61,text,text
9,46,414,5.111,.297,.833,1.66,123,345,74,text,text
9,186,1674,20.667,.160,.814,1.26,268,1363,213,text,text
8,21,168,2.625,.357,.911,1.67,60,153,36,text,text
7,65,455,9.286,.407,.895,2.18,185,407,85,text,text
14,203,2842,14.500,.362,.670,4.36,1028,1904,236,text,text
8,34,272,4.250,.360,.717,1.88,98,195,52,text,text
10,8,80,.800,.675,1.00,9.00,54,80,6,text,text
7,17,119,2.429,.429,.908,1.89,51,108,27,text,text
7,7,49,1.000,.429,1.00,1.91,21,49,11,text,text
6,90,540,15.000,.394,.804,2.20,213,434,97,text,text
13,57,741,4.385,.745,1.00,11.50,552,741,48,text,text
9,81,729,9.000,.287,.826,2.22,209,602,94,text,text
14,364,5096,26.000,.366,.562,4.71,1865,2865,396,text,text
7,163,1141,23.286,.212,.831,1.31,242,948,185,text,text
7,346,2422,49.429,.159,.749,1.17,386,1813,329,text,text
9,81,729,9.000,.357,.863,2.22,260,629,117,text,text
6,114,684,19.000,.278,.741,1.76,190,507,108,text,text
7,7,49,1.000,.306,.898,1.36,15,44,11,text,text
7,37,259,5.286,.301,.691,1.81,78,179,43,text,text
11,87,957,7.909,.319,.628,2.65,305,601,115,text,text
6,27,162,4.500,.475,.809,2.33,77,131,33,text,text
10,67,670,6.700,.291,.588,2.27,195,394,86,text,text
9,49,441,5.444,.580,.995,2.98,256,439,86,text,text
14,27,378,1.929,.479,.709,7.24,181,268,25,text,text
27,267,7209,9.889,.362,.674,4.36,2610,4860,599,text,text
16,389,6224,24.313,.364,.569,5.35,2268,3544,424,text,text
9,180,1620,20.000,.160,.523,1.39,259,847,186,text,text
54,1,54,.019,1.00,1.00,54.00,54,54,1,vert,vert
6,19,114,3.167,.360,.711,1.58,41,81,26,text,text
1,69,69,69.000,.667,1.00,4.18,46,69,11,horiz,horiz
9,9,81,1.000,.519,.531,42.00,42,43,1,text,text
3,259,777,86.333,.960,.978,67.82,746,760,11,horiz,horiz
10,51,510,5.100,.220,.841,1.29,112,429,87,text,text
17,266,4522,15.647,.921,1.00,12.82,4167,4522,325,text,text
1,187,187,187.00,.963,1.00,25.71,180,187,7,horiz,horiz
9,22,198,2.444,.212,.763,1.62,42,151,26,text,text
1,55,55,55.000,.564,1.00,10.33,31,55,3,horiz,horiz
20,19,380,.950,.495,.713,12.53,188,271,15,text,text
14,57,798,4.071,.727,.951,11.84,580,759,49,text,text
12,101,1212,8.417,.292,.792,1.99,354,960,178,text,text
11,9,99,.818,.485,.727,6.00,48,72,8,text,text
9,47,423,5.222,.286,.738,1.95,121,312,62,text,text
6,10,60,1.667,.450,.850,1.93,27,51,14,text,text
10,79,790,7.900,.244,.742,1.79,193,586,108,text,text
28,61,1708,2.179,.172,.509,1.97,294,870,149,picture,text
8,17,136,2.125,.353,.801,2.00,48,109,24,text,text
8,14,112,1.750,.375,.839,2.10,42,94,20,text,text
7,18,126,2.571,.262,.873,1.94,33,110,17,text,text
5,12,60,2.400,.467,.600,4.67,28,36,6,text,text
7,6,42,.857,.548,.952,2.56,23,40,9,text,text
8,15,120,1.875,.317,.742,2.00,38,89,19,text,text
9,19,171,2.111,.620,.836,7.57,106,143,14,text,text
2,46,92,23.000,.587,.761,18.00,54,70,3,horiz,horiz
10,20,200,2.000,.435,.890,2.90,87,178,30,text,text
7,38,266,5.429,.353,.902,2.04,94,240,46,text,text
11,123,1353,11.182,.250,.514,1.95,338,695,173,text,text
8,231,1848,28.875,.872,.882,179.00,1611,1630,9,horiz,text
7,33,231,4.714,.143,.844,2.36,33,195,14,text,text
8,27,216,3.375,.269,.764,1.29,58,165,45,text,text
5,3,15,.600,.600,1.00,4.50,9,15,2,text,text
8,16,128,2.000,.398,.695,2.55,51,89,20,horiz,text
8,11,88,1.375,.477,.966,2.00,42,85,21,text,text
5,7,35,1.400,.543,1.00,2.11,19,35,9,text,text
8,8,64,1.000,.359,.969,1.53,23,62,15,text,text
2,98,196,49.000,.480,.653,9.40,94,128,10,horiz,horiz
10,130,1300,13.000,.425,.773,2.79,552,1005,198,text,text
6,44,264,7.333,.447,.811,2.11,118,214,56,text,text
6,7,42,1.167,.476,.976,2.22,20,41,9,text,text
9,85,765,9.444,.395,.846,2.32,302,647,130,text,text
11,98,1078,8.909,.317,.643,2.80,342,693,122,text,text
10,16,160,1.600,.300,1.00,1.85,48,160,26,text,text
5,34,170,6.800,.224,.606,1.31,38,103,29,text,text
11,367,4037,33.364,.221,.770,1.64,891,3108,544,text,text
1,16,16,16.000,.938,1.00,15.00,15,16,1,horiz,horiz
13,38,494,2.923,.285,.907,3.62,141,448,39,text,text
10,511,5110,51.100,.161,.634,1.43,822,3238,575,text,text
2,52,104,26.000,.144,.702,2.50,15,73,6,text,horiz
8,28,224,3.500,.411,.996,1.92,92,223,48,text,text
9,33,297,3.667,.330,.845,1.81,98,251,54,text,text
1,16,16,16.000,1.00,1.00,16.00,16,16,1,horiz,horiz
5,39,195,7.800,.492,.872,2.46,96,170,39,text,text
7,143,1001,20.429,.113,.528,1.47,113,529,77,text,picture
9,510,4590,56.667,.149,.592,1.28,684,2717,533,text,text
9,160,1440,17.778,.360,.763,2.63,518,1098,197,text,text
9,17,153,1.889,.608,.856,7.15,93,131,13,text,text
6,4,24,.667,.625,.792,5.00,15,19,3,text,text
7,23,161,3.286,.286,.677,1.59,46,109,29,text,text
10,52,520,5.200,.319,.802,1.87,166,417,89,text,text
9,38,342,4.222,.444,.898,2.71,152,307,56,text,text
10,262,2620,26.200,.288,.742,1.79,754,1945,421,text,text
1,117,117,117.00,.393,1.00,5.75,46,117,8,horiz,horiz
13,38,494,2.923,.312,.955,3.42,154,472,45,text,text
5,31,155,6.200,.419,.948,1.91,65,147,34,text,text
7,262,1834,37.429,.152,.684,1.28,279,1254,218,text,text
7,8,56,1.143,.268,.679,1.15,15,38,13,text,text
9,122,1098,13.556,.339,.947,2.57,372,1040,145,text,text
5,43,215,8.600,.405,.981,1.61,87,211,54,text,text
9,272,2448,30.222,.277,.670,1.86,679,1640,365,text,text
9,91,819,10.111,.302,.956,1.98,247,783,125,text,text
9,84,756,9.333,.329,.632,2.08,249,478,120,text,text
6,19,114,3.167,.333,.930,1.27,38,106,30,text,text
3,90,270,30.000,.511,.907,2.34,138,245,59,text,horiz
6,7,42,1.167,.262,.786,1.83,11,33,6,text,text
7,183,1281,26.143,.265,.664,1.88,340,850,181,text,text
9,15,135,1.667,.244,.830,1.57,33,112,21,text,text
10,23,230,2.300,.370,.830,2.30,85,191,37,text,text
7,27,189,3.857,.370,.841,1.79,70,159,39,text,text
8,51,408,6.375,.306,.637,1.95,125,260,64,text,text
10,116,1160,11.600,.246,.759,1.60,285,881,178,text,text
7,34,238,4.857,.403,.849,1.81,96,202,53,text,text
9,9,81,1.000,.160,.864,1.63,13,70,8,text,text
14,300,4200,21.429,.263,.607,2.39,1106,2550,462,text,text
5,10,50,2.000,.280,.740,7.00,14,37,2,text,text
9,80,720,8.889,.304,.838,1.80,219,603,122,text,text
7,11,77,1.571,.351,.870,1.80,27,67,15,text,text
8,18,144,2.250,.403,.896,2.52,58,129,23,text,text
7,15,105,2.143,.229,.981,1.41,24,103,17,text,text
8,69,552,8.625,.234,.683,1.54,129,377,84,text,text
10,8,80,.800,.575,.888,9.20,46,71,5,text,text
10,52,520,5.200,.306,.688,1.96,159,358,81,text,text
5,43,215,8.600,.233,.800,1.35,50,172,37,text,text
37,1,37,.027,1.00,1.00,37.00,37,37,1,vert,horiz
6,32,192,5.333,.292,.698,1.37,56,134,41,text,text
21,13,273,.619,.168,.308,2.30,46,84,20,text,text
1,70,70,70.000,.943,1.00,22.00,66,70,3,horiz,horiz
8,24,192,3.000,.260,.672,1.85,50,129,27,text,text
9,7,63,.778,.302,.603,1.90,19,38,10,text,text
10,40,400,4.000,.333,.783,1.82,133,313,73,text,text
10,18,180,1.800,.550,.656,7.62,99,118,13,text,text
5,82,410,16.400,.361,.802,2.11,148,329,70,text,text
11,357,3927,32.455,.215,.823,1.55,845,3232,546,text,text
2,537,1074,268.50,.594,.655,21.27,638,703,30,horiz,horiz
10,62,620,6.200,.265,.656,2.19,164,407,75,text,text
33,28,924,.848,.098,.271,5.69,91,250,16,picture,text
6,82,492,13.667,.104,.303,1.31,51,149,39,text,text
11,261,2871,23.727,.243,.524,1.93,698,1505,361,text,text
8,65,520,8.125,.269,.725,1.40,140,377,100,text,text
8,15,120,1.875,.267,.767,2.29,32,92,14,text,text
83,314,26062,3.783,.282,.619,8.77,7353,16139,838,picture,picture
5,7,35,1.400,.429,.886,2.50,15,31,6,text,text
10,18,180,1.800,.511,.872,2.97,92,157,31,text,text
10,98,980,9.800,.300,.781,1.72,294,765,171,text,text
212,464,98368,2.189,.052,.070,11.84,5066,6884,428,picture,picture
7,28,196,4.000,.270,.750,1.36,53,147,39,text,text
24,178,4272,7.417,.483,.933,8.00,2063,3987,258,text,text
13,77,1001,5.923,.258,.564,3.04,258,565,85,text,text
8,12,96,1.500,.417,.802,2.11,40,77,19,text,text
2,537,1074,268.50,.621,.747,16.68,667,802,40,horiz,horiz
4,11,44,2.750,.364,.955,1.33,16,42,12,text,text
28,333,9324,11.893,.351,.650,4.55,3270,6057,718,text,text
11,94,1034,8.545,.280,.675,2.03,290,698,143,text,text
1,65,65,65.000,.646,1.00,3.00,42,65,14,horiz,horiz
38,96,3648,2.526,.431,.836,3.29,1574,3051,478,text,text
1,51,51,51.000,.471,1.00,2.40,24,51,10,horiz,horiz
10,31,310,3.100,.197,.652,1.30,61,202,47,text,text
7,48,336,6.857,.292,.804,1.53,98,270,64,text,text
7,20,140,2.857,.250,.593,1.35,35,83,26,text,text
12,168,2016,14.000,.255,.719,2.10,515,1449,245,text,text
9,93,837,10.333,.278,.847,1.66,233,709,140,text,text
5,6,30,1.200,.433,.900,1.63,13,27,8,text,text
20,39,780,1.950,.232,.585,3.42,181,456,53,text,picture
7,18,126,2.571,.167,.437,2.63,21,55,8,text,text
5,23,115,4.600,.322,1.00,1.32,37,115,28,text,text
2,45,90,22.500,.078,.944,1.17,7,85,6,text,text
5,27,135,5.400,.304,.889,1.41,41,120,29,text,text
8,12,96,1.500,.385,.698,2.47,37,67,15,text,text
9,49,441,5.444,.231,.685,1.46,102,302,70,text,text
6,75,450,12.500,.356,.973,1.47,160,438,109,text,text
16,337,5392,21.063,.363,.598,5.19,1956,3225,377,text,text
8,8,64,1.000,.406,.953,2.17,26,61,12,text,text
9,304,2736,33.778,.202,.749,1.32,554,2049,419,text,text
8,185,1480,23.125,.265,.611,1.97,392,905,199,text,text
6,13,78,2.167,.295,1.00,1.53,23,78,15,text,text
9,158,1422,17.556,.217,.535,1.45,308,761,212,text,text
8,14,112,1.750,.295,.857,1.83,33,96,18,text,text
9,27,243,3.000,.333,.918,1.69,81,223,48,text,text
25,300,7500,12.000,.065,.071,40.33,484,531,12,horiz,text
7,9,63,1.286,.429,.683,2.45,27,43,11,text,text
11,101,1111,9.182,.264,.852,1.65,293,947,178,text,text
13,104,1352,8.000,.198,.639,3.44,268,864,78,text,text
7,18,126,2.571,.286,.627,1.57,36,79,23,text,text
1,77,77,77.000,.403,1.00,5.17,31,77,6,horiz,horiz
9,1,9,.111,1.00,1.00,9.00,9,9,1,vert,vert
14,370,5180,26.429,.175,.648,1.64,907,3357,554,text,horiz
9,9,81,1.000,.321,.395,13.00,26,32,2,text,text
10,262,2620,26.200,.190,.601,1.32,499,1575,377,text,text
10,30,300,3.000,.300,.730,2.14,90,219,42,text,text
24,186,4464,7.750,.505,.989,7.40,2256,4413,305,text,text
8,7,56,.875,.429,1.00,2.18,24,56,11,text,text
10,271,2710,27.100,.267,.698,1.96,724,1892,369,text,text
7,21,147,3.000,.286,.850,1.35,42,125,31,text,text
5,3,15,.600,.600,.867,4.50,9,13,2,text,text
11,146,1606,13.273,.238,.580,1.83,383,932,209,text,text
10,22,220,2.200,.323,.814,2.09,71,179,34,text,text
9,6,54,.667,.370,.907,2.50,20,49,8,text,text
8,4,32,.500,.438,.594,7.00,14,19,2,picture,text
1,40,40,40.000,.200,1.00,1.14,8,40,7,text,text
9,23,207,2.556,.246,.570,1.82,51,118,28,text,text
6,11,66,1.833,.379,.818,1.67,25,54,15,text,text
8,43,344,5.375,.392,.927,2.21,135,319,61,text,text
8,40,320,5.000,.350,.906,1.81,112,290,62,text,text
10,12,120,1.200,.550,.875,4.71,66,105,14,text,text
8,12,96,1.500,.417,.927,1.74,40,89,23,text,text
2,19,38,9.500,.184,.789,1.40,7,30,5,text,text
15,54,810,3.600,.323,.689,2.45,262,558,107,text,text
9,55,495,6.111,.251,.808,1.43,124,400,87,text,text
14,98,1372,7.000,.308,.768,2.43,422,1054,174,text,text
5,5,25,1.000,.520,1.00,2.17,13,25,6,text,text
10,17,170,1.700,.382,1.00,2.41,65,170,27,text,text
11,275,3025,25.000,.287,.637,2.83,868,1928,307,text,text
2,19,38,9.500,.184,.553,3.50,7,21,2,text,text
5,39,195,7.800,.328,.744,2.06,64,145,31,text,text
11,22,242,2.000,.603,.888,8.59,146,215,17,text,text
6,10,60,1.667,.483,.933,2.07,29,56,14,text,text
98,3,294,.031,.480,.486,141.00,141,143,1,vert,text
5,4,20,.800,.450,.650,4.50,9,13,2,picture,text
7,315,2205,45.000,.056,.248,1.13,124,546,110,text,text
10,40,400,4.000,.295,.683,2.07,118,273,57,text,text
7,23,161,3.286,.298,.876,1.45,48,141,33,text,text
8,30,240,3.750,.450,.788,2.30,108,189,47,text,text
6,14,84,2.333,.393,.905,1.57,33,76,21,text,text
9,240,2160,26.667,.179,.605,1.26,386,1307,306,text,text
10,19,190,1.900,.600,.768,9.50,114,146,12,text,text
11,134,1474,12.182,.286,.777,2.36,422,1145,179,text,text
6,39,234,6.500,.192,.197,45.00,45,46,1,horiz,horiz
9,13,117,1.444,.564,.863,3.88,66,101,17,text,text
26,294,7644,11.308,.453,.917,7.60,3464,7010,456,text,text
8,69,552,8.625,.415,.984,2.16,229,543,106,text,text
5,19,95,3.800,.316,.916,1.50,30,87,20,text,text
6,18,108,3.000,.315,1.00,1.62,34,108,21,text,text
1,10,10,10.000,1.00,1.00,10.00,10,10,1,horiz,horiz
7,10,70,1.429,.286,.700,1.25,20,49,16,text,text
9,82,738,9.111,.320,.947,2.13,236,699,111,text,text
8,240,1920,30.000,.194,.515,1.34,373,988,279,text,text
8,14,112,1.750,.446,1.00,2.17,50,112,23,text,text
12,69,828,5.750,.407,.833,3.15,337,690,107,text,text
5,2,10,.400,.700,.700,7.00,7,7,1,text,text
7,56,392,8.000,.143,.401,1.56,56,157,36,text,text
11,71,781,6.455,.370,.726,2.41,289,567,120,text,text
10,35,350,3.500,.337,.711,2.62,118,249,45,text,text
10,23,230,2.300,.361,.774,2.44,83,178,34,text,text
13,239,3107,18.385,.239,.615,2.16,742,1912,343,text,text
22,72,1584,3.273,.469,.848,8.64,743,1343,86,text,text
9,111,999,12.333,.209,.571,1.57,209,570,133,text,text
10,59,590,5.900,.403,.792,2.98,238,467,80,text,text
9,82,738,9.111,.352,.798,2.63,260,589,99,text,text
10,16,160,1.600,.444,1.00,2.22,71,160,32,text,text
1,23,23,23.000,.826,1.00,19.00,19,23,1,horiz,horiz
11,37,407,3.364,.371,.899,2.01,151,366,75,text,text
8,13,104,1.625,.423,.990,1.76,44,103,25,text,text
7,72,504,10.286,.236,.651,1.70,119,328,70,text,text
11,20,220,1.818,.577,.882,8.47,127,194,15,text,text
12,272,3264,22.667,.329,.750,2.74,1075,2448,393,text,text
8,41,328,5.125,.265,.616,2.35,87,202,37,text,text
25,186,4650,7.440,.456,.868,8.06,2121,4035,263,text,text
7,6,42,.857,.500,.548,21.00,21,23,1,text,text
9,13,117,1.444,.239,.462,4.67,28,54,6,text,text
10,105,1050,10.500,.234,.811,1.70,246,852,145,text,text
12,43,516,3.583,.328,.789,2.56,169,407,66,text,text
9,81,729,9.000,.388,.897,2.38,283,654,119,text,text
3,4,12,1.333,.917,.917,11.00,11,11,1,text,text
9,18,162,2.000,.414,.877,2.31,67,142,29,text,text
5,15,75,3.000,.507,.787,3.17,38,59,12,text,text
8,42,336,5.250,.271,.813,1.54,91,273,59,text,text
6,47,282,7.833,.177,.450,1.61,50,127,31,text,picture
10,86,860,8.600,.423,.914,2.44,364,786,149,text,text
54,357,19278,6.611,.324,.644,6.22,6238,12422,1003,picture,picture
9,82,738,9.111,.306,.695,2.86,226,513,79,text,text
24,107,2568,4.458,.908,.982,16.91,2333,2523,138,text,text
12,409,4908,34.083,.302,.604,2.88,1482,2966,515,text,text
9,47,423,5.222,.333,.757,2.39,141,320,59,text,text
12,84,1008,7.000,.331,.792,2.35,334,798,142,text,text
6,97,582,16.167,.299,.701,1.85,174,408,94,text,text
5,23,115,4.600,.504,.783,2.42,58,90,24,text,text
13,284,3692,21.846,.205,.553,1.87,758,2040,405,text,text
7,10,70,1.429,.286,.771,2.22,20,54,9,text,text
11,32,352,2.909,.332,.815,1.86,117,287,63,text,text
7,11,77,1.571,.364,.935,1.40,28,72,20,text,text
5,94,470,18.800,.183,.798,1.62,86,375,53,text,text
5,4,20,.800,.450,.450,9.00,9,9,1,text,picture
9,107,963,11.889,.328,.656,2.08,316,632,152,text,text
10,17,170,1.700,.482,.759,6.83,82,129,12,text,text
8,43,344,5.375,.445,.860,2.73,153,296,56,text,text
7,15,105,2.143,.324,.762,3.09,34,80,11,text,text
11,179,1969,16.273,.330,.733,2.88,650,1444,226,text,text
8,24,192,3.000,.438,.839,1.95,84,161,43,text,text
9,41,369,4.556,.374,.881,2.26,138,325,61,text,text
7,20,140,2.857,.421,.829,2.46,59,116,24,text,text
7,64,448,9.143,.498,.911,2.93,223,408,76,text,text
9,111,999,12.333,.184,.771,1.60,184,770,115,text,text
9,65,585,7.222,.222,.786,1.35,130,460,96,text,text
10,103,1030,10.300,.250,.610,1.77,258,628,146,text,text
12,103,1236,8.583,.353,.724,2.55,436,895,171,text,text
9,18,162,2.000,.605,.895,7.00,98,145,14,text,text
9,20,180,2.222,.361,.872,1.86,65,157,35,text,text
10,25,250,2.500,.320,.648,2.00,80,162,40,text,text
12,118,1416,9.833,.255,.700,2.06,361,991,175,text,text
11,67,737,6.091,.331,.844,2.28,244,622,107,text,text
8,12,96,1.500,.396,.927,1.65,38,89,23,text,text
11,65,715,5.909,.390,.877,2.61,279,627,107,text,text
10,79,790,7.900,.324,.671,2.19,256,530,117,text,text
7,4,28,.571,.357,.571,5.00,10,16,2,text,text
10,30,300,3.000,.363,.710,2.42,109,213,45,text,text
10,1,10,.100,1.00,1.00,10.00,10,10,1,vert,vert
9,155,1395,17.222,.346,.731,2.44,483,1020,198,text,text
7,23,161,3.286,.329,.845,1.66,53,136,32,text,text
7,11,77,1.571,.299,.727,1.35,23,56,17,text,text
8,37,296,4.625,.182,.649,1.35,54,192,40,text,text
23,20,460,.870,.507,.672,21.18,233,309,11,text,text
16,405,6480,25.313,.382,.596,5.30,2476,3863,467,text,text
8,25,200,3.125,.385,.615,2.75,77,123,28,text,text
10,268,2680,26.800,.395,.590,5.88,1058,1581,180,text,text
12,176,2112,14.667,.302,.599,2.61,637,1265,244,text,text
7,20,140,2.857,.257,.750,1.33,36,105,27,text,text
6,97,582,16.167,.235,.703,1.71,137,409,80,text,text
10,26,260,2.600,.273,.815,1.87,71,212,38,text,text
9,81,729,9.000,.332,.974,2.09,242,710,116,text,text
52,48,2496,.923,.138,.248,7.67,345,619,45,picture,text
8,16,128,2.000,.422,.852,1.80,54,109,30,text,text
8,36,288,4.500,.323,.781,1.86,93,225,50,text,text
27,4,108,.148,.333,.667,2.57,36,72,14,vert,text
13,116,1508,8.923,.279,.658,2.30,421,992,183,text,text
5,13,65,2.600,.262,.692,1.42,17,45,12,text,text
10,55,550,5.500,.678,.827,6.32,373,455,59,text,text
1,42,42,42.000,.190,1.00,1.60,8,42,5,horiz,horiz
8,83,664,10.375,.357,.979,1.98,237,650,120,text,text
7,9,63,1.286,.444,.825,3.11,28,52,9,text,text
23,371,8533,16.130,.941,1.00,16.83,8027,8533,477,text,text
7,46,322,6.571,.304,.963,2.58,98,310,38,text,text
9,6,54,.667,.407,.519,5.50,22,28,4,picture,text
72,96,6912,1.333,.488,.582,15.69,3374,4025,215,graphic,text
6,13,78,2.167,.231,.487,3.00,18,38,6,text,text
9,508,4572,56.444,.160,.520,1.30,732,2379,563,text,text
10,240,2400,24.000,.383,.821,2.75,919,1971,334,text,text
9,1,9,.111,1.00,1.00,9.00,9,9,1,vert,vert
2,176,352,88.000,.528,.605,31.00,186,213,6,horiz,horiz
8,12,96,1.500,.479,1.00,2.19,46,96,21,text,text
9,49,441,5.444,.306,.773,1.82,135,341,74,text,text
11,271,2981,24.636,.177,.588,1.49,527,1752,353,text,text
7,13,91,1.857,.286,.868,1.37,26,79,19,text,text
13,44,572,3.385,.171,.712,1.61,98,407,61,text,text
9,83,747,9.222,.351,.726,2.94,262,542,89,text,text
8,16,128,2.000,.383,.742,2.33,49,95,21,text,text
15,31,465,2.067,.204,.465,3.96,95,216,24,text,text
7,7,49,1.000,.347,.633,2.83,17,31,6,text,text
2,236,472,118.00,.566,.689,10.27,267,325,26,horiz,horiz
1,78,78,78.000,.949,1.00,24.67,74,78,3,horiz,horiz
9,4,36,.444,.444,1.00,8.00,16,36,2,text,text
7,19,133,2.714,.406,.940,1.74,54,125,31,text,text
8,32,256,4.000,.230,.613,1.40,59,157,42,text,text
9,99,891,11.000,.380,.930,1.92,339,829,177,text,text
1,36,36,36.000,.583,1.00,5.25,21,36,4,horiz,horiz
29,48,1392,1.655,.116,.268,5.06,162,373,32,picture,graphic
7,227,1589,32.429,.217,.509,1.60,345,809,215,text,text
5,18,90,3.600,.467,.867,1.91,42,78,22,text,text
